GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),ENVCAUSE (CODE),ENVCAUSE (DISPLAY),ENVCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2003,2003,,AFR,Africa,,,2003,2003,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,2.5 [1.0-5.5],2.51992,0.95456,5.45875,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2001,2001,,AFR,Africa,,,2001,2001,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,2.8 [1.1-6.3],2.84169,1.08302,6.28608,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2000,2000,,AFR,Africa,,,2000,2000,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,2.8 [1.1-6.0],2.76097,1.06291,5.98658,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2018,2018,,AFR,Africa,,,2018,2018,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,4.6 [1.6-10.7],4.58006,1.60630,10.72854,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2011,2011,,AFR,Africa,,,2011,2011,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,5.6 [2.1-12.2],5.58403,2.05049,12.17104,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2016,2016,,AFR,Africa,,,2016,2016,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,3.4 [1.2-7.4],3.39343,1.15477,7.43328,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2016,2016,,AFR,Africa,,,2016,2016,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,5.0 [1.8-11.7],5.02317,1.79018,11.69332,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2014,2014,,AFR,Africa,,,2014,2014,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,5.1 [1.8-11.8],5.11943,1.80670,11.83654,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,4.6 [1.7-10.0],4.61007,1.69871,10.00726,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2001,2001,,AFR,Africa,,,2001,2001,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,2.5 [1.0-5.6],2.54327,0.96212,5.55518,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2003,2003,,AFR,Africa,,,2003,2003,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,2.8 [1.1-6.2],2.84899,1.08462,6.21352,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2006,2006,,AFR,Africa,,,2006,2006,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,3.4 [1.3-7.5],3.41553,1.26925,7.53141,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2009,2009,,AFR,Africa,,,2009,2009,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,4.6 [1.6-9.9],4.57586,1.64257,9.85075,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,3.1 [1.2-6.7],3.09696,1.17276,6.74361,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2019,2019,,AFR,Africa,,,2019,2019,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,4.3 [1.5-9.9],4.28732,1.51483,9.89293,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2013,2013,,AFR,Africa,,,2013,2013,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,4.5 [1.6-10.1],4.51606,1.57003,10.11068,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2009,2009,,AFR,Africa,,,2009,2009,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,4.0 [1.4-8.4],3.97266,1.38994,8.39968,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2019,2019,,AFR,Africa,,,2019,2019,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,2.8 [0.9-6.3],2.81633,0.94026,6.29436,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2015,2015,,AFR,Africa,,,2015,2015,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,5.1 [1.8-11.8],5.14483,1.82879,11.84048,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2017,2017,,AFR,Africa,,,2017,2017,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,3.7 [1.3-8.4],3.68102,1.28542,8.41907,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,3.7 [1.3-7.9],3.71473,1.34788,7.89008,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2011,2011,,AFR,Africa,,,2011,2011,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,3.6 [1.3-7.8],3.63521,1.25308,7.82902,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2007,2007,,AFR,Africa,,,2007,2007,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,3.2 [1.2-6.7],3.17188,1.18121,6.72558,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2013,2013,,AFR,Africa,,,2013,2013,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,5.3 [1.9-12.2],5.33527,1.89281,12.15004,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2006,2006,,AFR,Africa,,,2006,2006,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,3.1 [1.2-6.8],3.13345,1.17233,6.78037,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2000,2000,,AFR,Africa,,,2000,2000,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,2.6 [1.0-5.6],2.57570,0.99427,5.62806,,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2006,2006,,AFR,Africa,,,2006,2006,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,2.9 [1.1-6.1],2.87539,1.08367,6.09328,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2005,2005,,AFR,Africa,,,2005,2005,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,16.2 [8.6-24.9],16.21350,8.61000,24.94810,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2013,2013,,AFR,Africa,,,2013,2013,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,18.6 [10.1-29.3],18.56820,10.14020,29.29220,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2003,2003,,AFR,Africa,,,2003,2003,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,15.1 [8.1-23.1],15.09160,8.06000,23.06590,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2006,2006,,AFR,Africa,,,2006,2006,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,14.7 [7.7-22.5],14.66140,7.72000,22.54840,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2000,2000,,AFR,Africa,,,2000,2000,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,14.1 [7.5-21.5],14.14770,7.54000,21.47020,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2000,2000,,AFR,Africa,,,2000,2000,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,12.4 [5.9-21.9],12.44460,5.93000,21.86660,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,12.7 [6.7-21.4],12.70330,6.67000,21.41080,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2005,2005,,AFR,Africa,,,2005,2005,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,11.9 [6.2-19.9],11.91720,6.23000,19.85460,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2014,2014,,AFR,Africa,,,2014,2014,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,14.3 [8.1-23.1],14.30160,8.10000,23.13990,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2018,2018,,AFR,Africa,,,2018,2018,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,8.7 [4.8-14.2],8.67000,4.83000,14.21690,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2002,2002,,AFR,Africa,,,2002,2002,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,13.4 [7.0-21.6],13.38750,6.96000,21.59140,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,20.1 [11.0-31.9],20.14400,11.00120,31.86430,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2006,2006,,AFR,Africa,,,2006,2006,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,14.4 [7.6-23.0],14.37780,7.61000,22.97220,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2007,2007,,AFR,Africa,,,2007,2007,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,17.2 [9.3-27.3],17.24350,9.26000,27.31660,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,17.2 [9.6-27.9],17.20260,9.63000,27.88930,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2011,2011,,AFR,Africa,,,2011,2011,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,26.8 [14.3-41.3],26.75330,14.32630,41.29130,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2016,2016,,AFR,Africa,,,2016,2016,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,22.5 [11.7-35.6],22.48190,11.72500,35.58510,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,,2019,2019,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,20.0 [10.4-31.9],19.97790,10.41980,31.92200,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,26.2 [14.0-40.6],26.24410,14.01290,40.61190,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2009,2009,,AFR,Africa,,,2009,2009,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,20.1 [11.2-32.7],20.08460,11.21650,32.69070,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2015,2015,,AFR,Africa,,,2015,2015,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,12.6 [7.2-20.5],12.62760,7.15000,20.53440,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2016,2016,,AFR,Africa,,,2016,2016,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,16.8 [9.0-26.8],16.75040,8.98000,26.79780,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2012,2012,,AFR,Africa,,,2012,2012,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,19.7 [10.8-30.9],19.67070,10.76040,30.89360,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2003,2003,,AFR,Africa,,,2003,2003,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,13.2 [6.9-21.1],13.16000,6.85000,21.11850,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,14.2 [7.5-22.8],14.16470,7.48000,22.75880,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2016,2016,,AFR,Africa,,,2016,2016,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,11.6 [6.5-18.8],11.55030,6.49000,18.82500,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2002,2002,,AFR,Africa,,,2002,2002,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,11.4 [5.7-19.7],11.44100,5.71000,19.67320,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2009,2009,,AFR,Africa,,,2009,2009,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,24.5 [13.1-37.8],24.46550,13.08520,37.79680,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2018,2018,,AFR,Africa,,,2018,2018,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,14.0 [7.5-22.5],14.00430,7.45000,22.54270,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2002,2002,,AFR,Africa,,,2002,2002,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,15.5 [8.3-23.6],15.45330,8.29000,23.62710,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2007,2007,,AFR,Africa,,,2007,2007,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,16.9 [9.1-27.4],16.85900,9.13000,27.42540,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,21.5 [11.7-34.0],21.50980,11.72010,33.95020,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2011,2011,,AFR,Africa,,,2011,2011,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,20.7 [11.3-32.5],20.69670,11.33890,32.46810,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,,2019,2019,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,14.1 [7.5-22.8],14.12390,7.52000,22.78750,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2001,2001,,AFR,Africa,,,2001,2001,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,14.4 [7.7-22.0],14.39850,7.73000,21.98350,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,15.7 [8.4-24.2],15.74400,8.36000,24.21550,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,20.9 [11.2-32.2],20.94580,11.17720,32.16220,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2012,2012,,AFR,Africa,,,2012,2012,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,25.6 [13.7-39.7],25.62570,13.65280,39.73920,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2003,2003,,AFR,Africa,,,2003,2003,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,11.4 [5.7-19.3],11.35710,5.72000,19.30080,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2009,2009,,AFR,Africa,,,2009,2009,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,22.2 [12.1-35.1],22.17250,12.10710,35.12430,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2001,2001,,AFR,Africa,,,2001,2001,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,12.8 [6.6-20.9],12.80980,6.56000,20.85420,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2011,2011,,AFR,Africa,,,2011,2011,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,15.2 [8.6-24.4],15.19260,8.62000,24.44960,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2017,2017,,AFR,Africa,,,2017,2017,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,15.0 [8.0-24.1],15.02460,8.03000,24.13090,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2007,2007,,AFR,Africa,,,2007,2007,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,17.7 [9.4-27.2],17.66500,9.41000,27.19730,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2018,2018,,AFR,Africa,,,2018,2018,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,19.9 [10.3-31.7],19.86870,10.32340,31.69220,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2000,2000,,AFR,Africa,,,2000,2000,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,13.3 [6.7-21.7],13.27800,6.72000,21.67260,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2014,2014,,AFR,Africa,,,2014,2014,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,18.2 [9.9-28.9],18.17010,9.87000,28.87650,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2015,2015,,AFR,Africa,,,2015,2015,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,18.0 [9.7-28.6],17.95580,9.69000,28.57840,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2015,2015,,AFR,Africa,,,2015,2015,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,23.8 [12.5-37.5],23.83320,12.50460,37.45160,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2013,2013,,AFR,Africa,,,2013,2013,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,23.0 [12.2-35.8],23.00280,12.20450,35.75690,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2014,2014,,AFR,Africa,,,2014,2014,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,22.4 [11.8-35.2],22.43790,11.82200,35.20540,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2012,2012,,AFR,Africa,,,2012,2012,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,14.3 [8.1-22.9],14.26500,8.13000,22.86380,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,19.4 [10.8-31.6],19.41340,10.84080,31.59280,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2017,2017,,AFR,Africa,,,2017,2017,,,ZWE,Zimbabwe,,,,,MLE,Male,,,,,,,,21.0 [11.0-33.4],21.01020,10.95480,33.44530,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2001,2001,,AFR,Africa,,,2001,2001,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,11.3 [5.4-19.8],11.29900,5.44000,19.78030,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2017,2017,,AFR,Africa,,,2017,2017,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,9.6 [5.4-15.7],9.59000,5.37000,15.66870,,,
